SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
813GS2045, GS, 01-Feb-2026,113.5,113.5,113.5,113.5,113.5,113.5,113.5,1,0.0,1, 1, 100.00
824GS2027, GS, 01-Feb-2026,106.0,104.82,106.18,104.82,106.08,106.08,104.82,2915,3.06,4, 2915, 100.00
828GS2027, GS, 01-Feb-2026,143.69,150.85,150.85,150.0,150.0,150.0,150.43,2,0.0,2, 2, 100.00
833GS2026, GS, 01-Feb-2026,101.3,100.0,100.0,100.0,100.0,100.0,100.0,60,0.06,3, 30, 50.00
897GS2030, GS, 01-Feb-2026,113.2,113.2,113.2,113.2,113.2,113.2,113.2,10,0.01,1, 10, 100.00
92GS2030, GS, 01-Feb-2026,115.25,121.01,121.01,114.5,116.95,116.95,118.0,17121,20.2,8, 17116, 99.97
A2ZINFRA, EQ, 01-Feb-2026,14.13,14.13,14.79,13.57,13.95,13.95,14.09,194979,27.46,705, 112062, 57.47
AAATECH, BE, 01-Feb-2026,100.5,100.5,103.97,98.09,103.0,101.79,101.44,9788,9.93,154, -, -
AADHARHFC, EQ, 01-Feb-2026,491.3,491.5,493.0,472.0,476.0,480.95,480.02,463545,2225.1,10861, 261424, 56.40
AAKAAR, SM, 01-Feb-2026,53.35,53.35,53.35,53.35,53.35,53.35,53.35,1600,0.85,1, 1600, 100.00
AAKASH, EQ, 01-Feb-2026,7.81,8.48,8.48,7.82,7.86,7.9,8.02,105502,8.46,582, 68529, 64.96
AAREYDRUGS, EQ, 01-Feb-2026,67.6,67.0,67.0,64.22,64.22,64.29,65.14,72904,47.49,627, 30472, 41.80
AARON, EQ, 01-Feb-2026,152.77,150.6,159.0,150.6,155.5,154.93,156.02,10307,16.08,478, 4735, 45.94
AARTECH, EQ, 01-Feb-2026,45.01,44.25,47.99,44.25,45.79,45.47,46.08,27988,12.9,664, 8573, 30.63
AARTIDRUGS, EQ, 01-Feb-2026,381.05,375.4,394.0,375.4,380.1,381.15,385.22,79758,307.25,3563, 27520, 34.50
AARTIIND, EQ, 01-Feb-2026,371.95,371.95,374.55,367.0,367.0,370.7,370.81,405994,1505.47,15606, 183425, 45.18
AARTIPHARM, EQ, 01-Feb-2026,753.2,753.3,769.5,724.25,736.65,736.8,748.74,101314,758.57,9075, 37173, 36.69
AARTISURF, EQ, 01-Feb-2026,412.5,422.0,422.0,395.0,403.15,409.6,410.0,9203,37.73,614, 5080, 55.20
AARTISURF, P1, 01-Feb-2026,241.9,241.5,241.9,241.5,241.9,241.9,241.6,100,0.24,4, 100, 100.00
AARVI, EQ, 01-Feb-2026,128.48,129.99,137.97,125.95,129.65,132.63,132.69,37900,50.29,1712, 16089, 42.45
AATMAJ, SM, 01-Feb-2026,20.6,20.6,21.95,20.6,21.95,21.95,21.28,4000,0.85,2, 4000, 100.00
AAVAS, EQ, 01-Feb-2026,1461.3,1457.1,1475.9,1436.6,1454.9,1447.0,1458.64,42601,621.39,4862, 14699, 34.50
ABAN, BE, 01-Feb-2026,21.32,20.78,21.98,20.78,21.98,21.54,21.37,60231,12.87,346, -, -
ABB, EQ, 01-Feb-2026,5578.5,5531.0,5620.0,5255.5,5425.0,5437.0,5469.06,287431,15719.77,37862, 40068, 13.94
ABBOTINDIA, EQ, 01-Feb-2026,27565.0,27690.0,27690.0,27060.0,27195.0,27245.0,27341.17,1799,491.87,1226, 784, 43.58
ABCAPITAL, EQ, 01-Feb-2026,339.8,340.6,342.85,326.0,328.0,329.2,332.19,4045667,13439.27,37692, 1630706, 40.31
ABCOTS, EQ, 01-Feb-2026,421.95,450.0,450.0,416.05,427.5,427.15,425.03,2838,12.06,236, 967, 34.07
