ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
INE0HMF01019,2026-02-04,2026-02-04,CM,NSE,STK,11582,TRACXN,EQ,,,,,TRACXN TECHNOLOGIES LTD,35.0,37.5,35.0,35.81,35.89,35.75,,35.81,,,163733,5898546.87,1513,F1,1,,,,,
INE763I01026,2026-02-04,2026-02-04,CM,NSE,STK,15174,TARIL,EQ,,,,,TRANS & RECTI. LTD,244.9,257.48,242.63,255.86,256.0,245.82,,255.85,,,3534827,890666961.88,48361,F1,1,,,,,
INE0O3901029,2026-02-04,2026-02-04,CM,NSE,STK,17795,TREL,EQ,,,,,TRANSINDIA REAL ESTATE L,24.4,24.4,23.3,23.53,23.49,24.1,,23.53,,,386929,9138311.33,1343,F1,1,,,,,
INE688A01022,2026-02-04,2026-02-04,CM,NSE,STK,10580,TCI,EQ,,,,,TRANSPORT CORPN OF INDIA,1082.7,1105.8,1075.0,1089.5,1085.3,1102.1,,1089.65,,,19654,21400093.3,2685,F1,1,,,,,
INE454P01035,2026-02-04,2026-02-04,CM,NSE,STK,28714,TRANSRAILL,EQ,,,,,TRANSRAIL LIGHTING LTD,540.3,562.5,534.25,559.65,558.0,543.25,,559.65,,,787451,435226846.45,28838,F1,1,,,,,
INE0NVI01020,2026-02-04,2026-02-04,CM,NSE,STK,19801,TRANSTEEL,SM,,,,,TRANSTEEL SEATING TECH L,144.9,147.0,141.1,145.2,145.0,141.05,,145.2,,,63000,9115100.0,47,F1,1000,,,,,
INE804H01012,2026-02-04,2026-02-04,CM,NSE,STK,14319,TFL,EQ,,,,,TRANSWARRANTY FIN. LTD.,16.25,16.25,13.7,13.95,14.0,14.42,,13.95,,,48790,696966.12,312,F1,1,,,,,
INE757B01015,2026-02-04,2026-02-04,CM,NSE,STK,3129,TRANSWORLD,EQ,,,,,TRANSWORLD SHIP LINES LTD,170.8,179.7,170.8,178.37,179.0,172.45,,178.35,,,16066,2854430.19,845,F1,1,,,,,
INE103V01028,2026-02-04,2026-02-04,CM,NSE,STK,757545,TRAVELFOOD,EQ,,,,,TRAVEL FOOD SERVICES LTD,1099.6,1124.8,1088.3,1119.7,1120.1,1099.6,,1119.7,,,12657,14013979.9,2227,F1,1,,,,,
INE040M01013,2026-02-04,2026-02-04,CM,NSE,STK,25082,TREEHOUSE,EQ,,,,,TREE HOUSE EDU LTD,7.65,7.7,7.05,7.63,7.7,7.36,,7.63,,,41060,309218.74,199,F1,1,,,,,
INE00CA01015,2026-02-04,2026-02-04,CM,NSE,STK,7605,TREJHARA,BE,,,,,TREJHARA SOLUTIONS LTD,198.7,198.7,190.13,192.17,191.29,192.94,,192.05,,,3752,730917.06,62,F1,1,,,,,
INE849A01020,2026-02-04,2026-02-04,CM,NSE,STK,1964,TRENT,EQ,,,,,TRENT LTD,3834.0,4070.0,3805.0,4012.6,4021.0,3822.8,,4012.6,,,1925540,7654003196.8,122371,F1,1,,,,,
INE391D01019,2026-02-04,2026-02-04,CM,NSE,STK,17987,TRF,EQ,,,,,TRF LIMITED,276.75,281.0,274.0,275.5,274.5,276.85,,275.45,,,7076,1960252.85,446,F1,1,,,,,
